Epoch_of_20,train_loss,train_accuracy,test_loss,test_accuracy
0,1.7238798419740464,0.3716555555555556,1.2610019241333008,0.556
1,1.4523838316175672,0.4761722222222222,1.0249848085403441,0.6508
2,1.3511370026270548,0.5152888888888889,0.9831059131622314,0.651
3,1.2905211557176377,0.5399388888888889,0.9584312221527099,0.6626
4,1.2483129799948798,0.5543277777777778,0.989548825931549,0.6468
5,1.218782552295261,0.5659722222222222,0.8895920904159546,0.6882
6,1.1952392596562704,0.5749,1.006574250793457,0.6414
7,1.1768294886906943,0.5808333333333333,0.9206672315597534,0.6854
8,1.1607587830649482,0.5874722222222222,0.9290766803741455,0.676
9,1.150036662864685,0.5909222222222222,0.973666156578064,0.666
10,1.1429035552342732,0.5935944444444444,1.1176237698554992,0.6172
11,1.1338235024346246,0.5962277777777778,0.8782429857254028,0.6922
12,1.127935519387987,0.5978166666666667,0.8847085770606995,0.6966
13,1.1207590704600017,0.6009666666666666,0.8874928510665894,0.6976
14,1.116769228638543,0.6028444444444444,0.8500857494354248,0.708
15,1.1134666802300348,0.6047666666666667,0.8579109441757202,0.6986
16,1.1076766917122736,0.6063388888888889,0.8406132671356201,0.7086
17,1.102823042265574,0.6068833333333333,0.8195052494049072,0.712
18,1.1006454279793634,0.6084944444444444,0.8151608236312866,0.722
64837053,0.6023722222222222,0.8821621910095215,0.6992
