1.9484, 0.3036, 1.7661, 0.3764
1.7720, 0.3676, 1.5826, 0.4240
1.6598, 0.4065, 1.5585, 0.4458
1.5424, 0.4517, 1.6371, 0.4062
1.4508, 0.4896, 1.6057, 0.4298
1.4070, 0.5064, 1.4506, 0.4726
1.3842, 0.5150, 1.6897, 0.4186
1.3521, 0.5293, 1.5594, 0.4474
1.3341, 0.5334, 1.6216, 0.4630
1.3179, 0.5389, 1.8216, 0.3816
1.3090, 0.5420, 1.1936, 0.5798
1.2924, 0.5487, 2.9033, 0.3114
1.2828, 0.5509, 1.4341, 0.5238
1.2713, 0.5539, 1.9378, 0.3994
1.2729, 0.5557, 1.5909, 0.4954
1.2593, 0.5597, 1.2222, 0.5648
1.2653, 0.5592, 1.3044, 0.5542
1.2476, 0.5621, 1.4633, 0.5108
1.2503, 0.5647, 1.3246, 0.5324
1.2435, 0.5660, 1.3351, 0.5344
1.2254, 0.5736, 1.4007, 0.5184
1.2335, 0.5680, 2.3623, 0.3252
1.2253, 0.5731, 1.3501, 0.5310
1.2119, 0.5766, 1.4339, 0.4966
1.2064, 0.5816, 1.9057, 0.4402
1.2071, 0.5804, 1.9590, 0.4182
1.2135, 0.5782, 1.4504, 0.5248
1.2001, 0.5799, 1.5078, 0.5308
1.1982, 0.5823, 1.5073, 0.5452
1.1786, 0.5895, 1.3825, 0.5054
1.1960, 0.5830, 1.1640, 0.6058
1.1858, 0.5888, 1.4652, 0.4968
1.1864, 0.5873, 1.2306, 0.5816
1.1658, 0.5927, 3.2710, 0.2566
1.1658, 0.5925, 2.1480, 0.3970
1.1622, 0.5964, 1.7896, 0.4714
1.1553, 0.5959, 1.9960, 0.4154
1.1519, 0.6021, 1.4062, 0.4976
1.1729, 0.5931, 2.1496, 0.3444
1.1500, 0.6008, 1.4632, 0.5020
1.1492, 0.6018, 1.6171, 0.4922
1.1476, 0.5988, 1.6462, 0.4426
1.1427, 0.6015, 1.7843, 0.4594
1.1367, 0.6051, 1.3360, 0.5364
1.1433, 0.6004, 2.9395, 0.3404
1.1349, 0.6047, 3.1447, 0.2622
1.1380, 0.6055, 1.8720, 0.3940
1.1220, 0.6105, 1.8749, 0.3860
1.1172, 0.6116, 1.2108, 0.5908
1.1267, 0.6078, 2.5397, 0.3502
