Epoch_of_10,train_loss,train_accuracy,test_loss,test_accuracy
0,1.2224970349205866,0.5634444444444444,1.1207412567138673,0.613
1,0.8342887512948778,0.7089333333333333,0.8055731521606445,0.714
2,0.6973859972741869,0.7560444444444444,0.9585540584564209,0.6826
3,0.6040974285125732,0.7930666666666667,0.7347734106063842,0.7462
4,0.5424200639618768,0.8142444444444444,0.67589534740448,0.7648
5,0.4927730113559299,0.8313555555555555,0.6412729135513305,0.7886
6,0.44551566410064697,0.8471777777777778,0.7001735893249512,0.7662
7,0.4032807056956821,0.8633555555555555,0.7119507126808167,0.7646
8,0.3770227859285143,0.8709555555555556,0.6249142867088318,0.7792
9,0.3375552491399977,0.8852666666666666,0.6645824773788452,0.7772
