Epoch_of_20,train_loss,train_accuracy,test_loss,test_accuracy
0,1.213058389515347,0.5701333333333334,1.0042060857772828,0.6396
1,0.828374587504069,0.7096444444444444,0.8877629888534546,0.6812
2,0.6997870350731744,0.7568222222222222,0.7113393327236176,0.7564
3,0.6196752036412557,0.7856222222222222,0.8749792720794678,0.7112
4,0.5617156948619418,0.8061111111111111,0.6411428142547607,0.7758
5,0.5101250779893663,0.8254222222222222,0.7601441665649414,0.7386
6,0.4724516124314732,0.8378222222222222,0.5768663743495941,0.8048
7,0.4342775974485609,0.8527111111111111,0.6313424346864224,0.7804
8,0.41574298775063623,0.8579333333333333,0.5606370549440384,0.812
9,0.384938566631741,0.8704,0.7148561855316162,0.766
10,0.36719539529482526,0.8743777777777778,0.5742260362148285,0.8056
11,0.34428424216111503,0.8824,0.6447178160905838,0.786
12,0.3279997632662455,0.8889777777777778,0.6142628264427185,0.791
13,0.31515247591866385,0.8935333333333333,0.5858651692271233,0.8026
14,0.3037749334441291,0.8977333333333334,0.630652213203907,0.7922
15,0.28675876801808675,0.9031111111111111,0.5986315548419953,0.804
16,0.28172008279164634,0.9045111111111112,0.5913294782161712,0.797
17,0.27373149927986995,0.9088888888888889,0.5952469328403472,0.8148
18,0.2641673543426726,0.9109111111111111,0.5899117152571678,0.811
19,0.2544541489495171,0.9143333333333333,0.6132719022989273,0.8046
