Epoch_of_10,train_loss,train_accuracy,test_loss,test_accuracy
0,1.196268056042989,0.5735111111111111,0.9061244060516357,0.6832
1,0.8088879562801785,0.7180444444444445,0.9705281208992005,0.6738
2,0.6764624357435438,0.7644666666666666,0.7457247901916504,0.7482
3,0.5943251626226637,0.7947555555555555,0.841419615316391,0.7078
4,0.526543533176846,0.8191111111111111,0.7956334834098816,0.74
5,0.47846479726367525,0.8351777777777778,0.8148872407913208,0.7306
6,0.4314762370268504,0.8504,0.6111251152038574,0.7916
7,0.3946230922593011,0.8644444444444445,0.7184693615913391,0.7606
8,0.3622461760573917,0.8760888888888889,0.6027644260406494,0.792
9,0.3305514858457777,0.8872666666666666,0.691670245552063,0.7674
