Epoch_of_10,train_loss,train_accuracy,test_loss,test_accuracy
0,1.1957727856212192,0.5752888888888888,0.95465,0.6572
1,0.8103665503501892,0.7169555555555556,0.9189422477722168,0.677
2,0.6767089359283447,0.7642,0.7291610563278198,0.7476
3,0.5960619974984063,0.7914222222222222,0.8650276527404785,0.715
4,0.5306889589680566,0.815,0.7805262898445129,0.738
5,0.47587046785354614,0.8374444444444444,0.804948631477356,0.7238
6,0.4334800985548231,0.8524222222222222,0.657190000629425,0.7742
7,0.3917625079419878,0.8672888888888889,0.6377334480285645,0.7794
8,0.3629699336157905,0.8752444444444445,0.8170596616744995,0.7296
9,0.33290930008358427,0.8858,0.7330424748897553,0.7572
