Epoch_of_10,train_loss,train_accuracy,test_loss,test_accuracy
0,1.8881628816138374,0.30534666666666666,3.274413708114624,0.1128
1,1.7358042233106825,0.3649733333333333,2.6511467361450194,0.0956
2,1.6566533135477701,0.39754222222222224,3.03604091796875,0.107
3,1.6111408812713623,0.41603111111111113,2.888238080215454,0.0954
4,1.5804841785939534,0.4283866666666667,2.6647138277053832,0.1212
5,1.5566392852698432,0.43803555555555557,2.854040775489807,0.106
6,1.5373223884540135,0.44572,2.670660061264038,0.1136
7,1.5222413367801242,0.4515111111111111,2.916204743099213,0.112
8,1.5095791072718303,0.45796,2.9855790595054628,0.126
9,1.4999207591289945,0.46075555555555553,3.156914612293243,0.113
