Epoch_of_10,train_loss,train_accuracy,test_loss,test_accuracy
0,0.7388134030363295,0.74328,0.6816972528457642,0.7654
1,0.35680779202196333,0.8812977777777777,0.6169503993988037,0.7904
2,0.23753159512519836,0.9238933333333333,0.7507542911529541,0.7594
3,0.1884231951883104,0.9405111111111111,0.6558206970691681,0.7944
4,0.16825468384424846,0.9469466666666667,0.6653741180419922,0.8042
5,0.15376794226328533,0.9518,0.7038358381271362,0.7932
6,0.14438087308777703,0.9550711111111111,0.7539129592418671,0.768
7,0.13895461088736852,0.9566622222222222,0.9425005626678467,0.7382
8,0.13157099279907014,0.9593244444444444,0.7411426345825195,0.7712
9,0.1291026585790846,0.9596577777777778,0.666305899810791,0.7968
