Epoch_of_10,train_loss,train_accuracy,test_loss,test_accuracy
0,1.8880513312403362,0.30589777777777777,2.881378966140747,0.115
1,1.7359339325120713,0.36433333333333334,2.7623425563812254,0.106
2,1.6602253297424316,0.39625777777777776,3.1392611835479736,0.1148
3,1.6132505027092827,0.41602666666666666,2.7727229049682616,0.1048
4,1.580390350066291,0.4286488888888889,3.0062770018577574,0.1
5,1.5550889498138427,0.43848444444444445,3.072595180130005,0.098
6,1.5346306208377414,0.4466488888888889,3.063934871673584,0.1002
7,1.519138979619344,0.45314666666666664,2.9266901865005495,0.0976
8,1.5062248551686606,0.45698666666666665,2.7845130546569825,0.097
9,1.4938945852110121,0.46242222222222223,3.0259654697418212,0.098
