Epoch_of_10,train_loss,train_accuracy,test_loss,test_accuracy
0,0.7291316082954407,0.7460622222222222,0.7255637145996093,0.7538
1,0.3563046716711256,0.8811244444444445,0.6701443393707276,0.7738
2,0.2376590130880144,0.9235111111111111,0.9847847979545593,0.7192
3,0.18856451890415615,0.9399288888888889,0.6843699293136597,0.7964
4,0.16578497794416217,0.9478888888888889,0.6424986780166626,0.8024
5,0.15305342980119918,0.9521022222222222,0.6274430498123169,0.8092
6,0.14424172297583687,0.9546711111111111,0.6896216983795166,0.7952
7,0.13713641951269573,0.9571022222222222,0.7265090549468994,0.7798
8,0.1315961386373308,0.95816,0.6496144302368164,0.795
9,0.12735006502654816,0.9599911111111111,0.660849674987793,0.801
