Epoch_of_20,train_loss,train_accuracy,test_loss,test_accuracy
0,1.1906658077451917,0.5791333333333334,0.9383031756877899,0.6782
1,0.8220877124680414,0.7124666666666667,0.8216100022315979,0.7198
2,0.7039036212497287,0.7557777777777778,0.760741655921936,0.7372
3,0.6220069286876254,0.7836444444444445,0.6918524089097977,0.7636
4,0.5652063708411322,0.8043333333333333,0.7457099512100219,0.7408
5,0.5179431808047824,0.8224666666666667,0.6763017374038697,0.7742
6,0.48267971563074324,0.8340666666666666,0.6797937570333481,0.7762
7,0.4413890973620945,0.8489777777777778,0.6615218098640442,0.7838
8,0.4089713779608409,0.8600888888888889,0.6622815702915191,0.7708
9,0.3925813871913486,0.8652666666666666,0.6196676472663879,0.7906
10,0.36956361960305106,0.8729333333333333,0.6622880195856095,0.7876
11,0.34514511216746435,0.8813555555555556,0.5905360515594482,0.8042
12,0.3296182766172621,0.8894,0.6279595508337021,0.7924
13,0.32167976032892864,0.8907555555555555,0.6271988950967788,0.7972
14,0.3001995171440972,0.899,0.6196747864127159,0.7944
15,0.2868241191241476,0.9034888888888889,0.6418073024570942,0.7896
16,0.27725199669731987,0.9052222222222223,0.6299349158048629,0.7914
17,0.2719181016604106,0.9080444444444444,0.7015972990691662,0.7798
18,0.2664519783337911,0.9100666666666667,0.6577512263476849,0.7896
19,0.2578877418253157,0.9117777777777778,0.7020359126567841,0.7832
