Epoch_of_10,train_loss,train_accuracy,test_loss,test_accuracy
0,1.907418149286906,0.3041688888888889,2.782347732543945,0.1068
1,1.7076724758826363,0.3820088888888889,3.23697038230896,0.1032
2,1.590666849784851,0.4255466666666667,3.2689411529541017,0.1376
3,1.5354225921842788,0.4472888888888889,4.137956517791748,0.1448
4,1.4993952721405028,0.46065333333333336,3.872823773956299,0.153
5,1.4717233618164063,0.4713911111111111,4.646766751289368,0.1474
6,1.4544170784378052,0.4779111111111111,4.348801190948486,0.1482
7,1.4381583452606201,0.48386222222222225,6.15485523853302,0.1594
8,1.4256034888246325,0.48848888888888886,6.068934568405151,0.1574
9,1.4147948449664647,0.4934044444444444,5.467718432617188,0.1524
