Epoch_of_10,train_loss,train_accuracy,test_loss,test_accuracy
0,1.9080152187305026,0.30418222222222224,2.958068341255188,0.0992
1,1.7031243042034574,0.3832844444444444,2.6925740756988525,0.1208
2,1.605403958354526,0.42217777777777776,2.893548408508301,0.1284
3,1.5476265661578708,0.44436,4.578629960250854,0.15
4,1.511103449151781,0.45752444444444446,4.569638567352295,0.1258
5,1.4860052526092529,0.4676488888888889,5.457681801605225,0.155
6,1.4660586942418417,0.47447555555555554,5.473882735443115,0.126
7,1.4483076930914984,0.4819111111111111,7.868959483027458,0.1134
8,1.4356205528683132,0.4858311111111111,6.65326396522522,0.1272
9,1.4219478368674385,0.4906622222222222,7.782194773864746,0.134
