Epoch_of_10,train_loss,train_accuracy,test_loss,test_accuracy
0,1.914150814230177,0.30173777777777777,2.8841782915115357,0.1096
1,1.7094561894904243,0.3825866666666667,2.749650957489014,0.1242
2,1.6048577700042725,0.42288888888888887,4.042717554664612,0.141
3,1.5511164368438721,0.4426088888888889,4.523288501739502,0.118
4,1.5148716612964206,0.456,4.87508744506836,0.1278
5,1.4903442293421427,0.46557333333333334,6.573738293838501,0.1056
6,1.4704132403564454,0.4726,4.969081219100953,0.1402
7,1.4555267442618476,0.47776444444444444,4.702192739868164,0.1766
8,1.4398799200397068,0.48386222222222225,6.690158235740662,0.1156
9,1.4275010033416748,0.48904444444444445,6.801934679508209,0.1246
