Epoch_of_10,train_loss,train_accuracy,test_loss,test_accuracy
0,0.7396267478434245,0.7430844444444444,0.8450962991714478,0.7198
1,0.359947266453637,0.88004,0.815506332731247,0.7522
2,0.2432851079389784,0.9217155555555555,0.647217982673645,0.7944
3,0.19129877996868558,0.9392311111111111,0.6337328943252564,0.8012
4,0.1700293323055903,0.9465466666666666,0.7700117845535278,0.7642
5,0.157318014966117,0.9509022222222222,0.7618798426628113,0.7702
6,0.14986442066934375,0.9530533333333333,0.6714507736206055,0.7984
7,0.13907230429225498,0.9570666666666666,0.7297900684833527,0.7868
8,0.13498772827360364,0.9583288888888889,0.6591584409713745,0.7964
9,0.13221840398841433,0.9585777777777778,0.866841487789154,0.7658
