Epoch_of_20,train_loss,train_accuracy,test_loss,test_accuracy
0,1.711576951789856,0.3781388888888889,1.190749003314972,0.5902
1,1.4321943782170614,0.48465,1.1001129816055297,0.6078
2,1.3440328925026788,0.5195944444444445,0.9902559931755066,0.6574
3,1.2931910935084026,0.5374722222222222,0.9749297399520874,0.6604
4,1.2586411525408427,0.5524555555555556,0.9768084679603577,0.6646
5,1.2312192078908284,0.5620888888888889,0.9002567365646362,0.6858
6,1.206676081975301,0.5709833333333333,0.9684619333267211,0.6634
7,1.1903268910090128,0.5769888888888889,0.872073881816864,0.7056
8,1.1761736122555202,0.5807555555555556,0.8861436896324157,0.6994
9,1.1674018665101793,0.5850888888888889,0.9448444596290588,0.6736
10,1.1598345955106948,0.5876277777777777,0.9190280839443207,0.6756
11,1.1522264319525826,0.5893611111111111,0.8733461582660675,0.6982
12,1.1446146605173746,0.5930666666666666,0.8708887777328491,0.6948
13,1.137597059864468,0.5952111111111111,0.8338556446552277,0.7102
14,1.1326126331329345,0.5973277777777778,0.8551343725204468,0.7052
15,1.1273228078842163,0.59965,0.8576937664031983,0.7054
16,1.12233274430169,0.6013666666666667,0.8099485677719116,0.7184
17,1.1193368007236058,0.6023944444444445,0.826076005077362,0.7202
18,1.11628593366411,0.6032055555555556,0.8544186795234681,0.7102
19,1.1115596662521363,0.6053611111111111,0.8563634631156921,0.6976
