Epoch_of_10,train_loss,train_accuracy,test_loss,test_accuracy
0,1.1934573784298368,0.5758444444444445,1.116825299835205,0.6236
1,0.8181124791357253,0.715,0.8396302185058594,0.712
2,0.6873710975541009,0.7597777777777778,0.8270116443634034,0.7106
3,0.6076583460913764,0.7895333333333333,0.7183240034103393,0.7502
4,0.5403369143856896,0.8128,0.6515311506271362,0.7756
5,0.4814453656302558,0.8358444444444444,0.7373347213745117,0.7528
6,0.44077980892393326,0.8467777777777777,0.6228707438468933,0.7904
7,0.40217742067972817,0.8630888888888889,0.6799206346511841,0.7774
8,0.36940761348406476,0.8747555555555555,0.6818051324844361,0.7748
9,0.3320169306225247,0.8881111111111111,0.6026366697311402,0.7974
