Epoch_of_10,train_loss,train_accuracy,test_loss,test_accuracy
0,0.7294838018427955,0.7459111111111111,0.768826049041748,0.7402
1,0.3589052375825246,0.88056,0.6101469434738159,0.7956
2,0.24081739308728112,0.9221955555555555,0.6803492319107056,0.7856
3,0.1898286200703515,0.9399777777777778,0.6696479047775269,0.7946
4,0.1666943434858322,0.9481422222222222,0.7248233392715454,0.7844
5,0.15505658651775783,0.9514444444444444,0.7444593752861023,0.7818
6,0.14456995853530036,0.9550222222222222,0.7791590672492981,0.7764
7,0.1383602538588312,0.9569511111111111,0.6617650863647461,0.796
8,0.1320637274620268,0.9588133333333333,0.697425419998169,0.8004
9,0.12781482728216384,0.9602355555555555,0.84846683883667,0.7678
