Epoch_of_20,train_loss,train_accuracy,test_loss,test_accuracy
0,1.7191971345477635,0.3756055555555556,1.2958657450675963,0.543
1,1.442355518489414,0.4824222222222222,1.1145332382202149,0.614
2,1.348615764427185,0.5192555555555556,1.1341271492004394,0.6118
3,1.2951011377546522,0.5395444444444445,0.9273380421638489,0.6796
4,1.2616129265255398,0.55045,0.9289576620101929,0.6796
5,1.2339099235534667,0.5592388888888888,1.030620330953598,0.6442
6,1.2137153162850274,0.5684944444444444,0.9328055805921555,0.669
7,1.1953558111826579,0.5748944444444445,0.8686473999023437,0.6938
8,1.180582283306122,0.5801,0.894903735923767,0.6834
9,1.1685692920790778,0.5843722222222222,0.8382307401180268,0.7056
10,1.1574985028584799,0.5881333333333333,0.825801564502716,0.7114
11,1.1480608292685615,0.5905666666666667,1.042199691915512,0.6494
12,1.1389349721484714,0.5944333333333334,0.8569040760993958,0.6988
13,1.1307793152067396,0.5969833333333333,0.8610022730827331,0.7016
14,1.1204462911605835,0.6006777777777778,0.8398209446907043,0.7122
15,1.1159918157577515,0.6028888888888889,0.8856100680351258,0.6974
16,1.1110583893458048,0.6035388888888888,0.8085920352458954,0.72
17,1.1055587682512071,0.6071055555555556,0.8929694766998291,0.6846
18,1.1006223635779486,0.6076111111111111,0.8887198043107987,0.6936
19,1.096221327357822,0.60965,1.0487701189994811,0.6478
