Epoch_of_20,train_loss,train_accuracy,test_loss,test_accuracy
0,1.2088556414286296,0.5744444444444444,1.1845460521698,0.5978
1,0.8292680460823907,0.7129777777777778,0.7649869784355163,0.7408
2,0.7029957786454095,0.7565333333333333,0.7216456377983094,0.7486
3,0.618509184243944,0.7847111111111111,0.7085357189178467,0.7592
4,0.5670964108361138,0.8032,0.7511779067516327,0.7374
5,0.5151700883017646,0.8226444444444444,0.6768937389850617,0.7742
6,0.47570033857689964,0.8350666666666666,0.7930390644073486,0.7468
7,0.4461381668620639,0.8476444444444444,0.6148348858356476,0.792
8,0.4106873221821255,0.8581111111111112,0.6542111589431763,0.779
9,0.3848437072700924,0.8686444444444444,0.6733227801322937,0.7762
10,0.3672475244839986,0.8747333333333334,0.7109317738056183,0.76
11,0.34776611557006837,0.8817111111111111,0.6712969207286835,0.773
12,0.3287707143783569,0.8884222222222222,0.5809397715568543,0.8028
13,0.31830586784415776,0.8915555555555555,0.777686938214302,0.7598
14,0.3006793913523356,0.8989555555555555,0.6407674780488014,0.7972
15,0.2873426441775428,0.9030888888888889,0.6343274607658386,0.7976
16,0.2816659456041124,0.9046,0.6360573040127754,0.8014
17,0.27361876078711617,0.9074444444444445,0.6378338592052459,0.7948
18,0.2598288824505276,0.9126,0.7530805593132973,0.7636
19,0.2566747424867418,0.9132444444444444,0.6162083569049835,0.802
