Epoch_of_20,train_loss,train_accuracy,test_loss,test_accuracy
0,1.7146460775587293,0.37500555555555554,1.2894158638000488,0.5278
1,1.434463268661499,0.48220555555555555,1.0853837658882142,0.6082
2,1.3373143159442478,0.5200666666666667,0.9455961032867432,0.6718
3,1.2762538141674467,0.5430833333333334,1.066023864364624,0.6318
4,1.242847867372301,0.5564444444444444,0.934229750919342,0.6728
5,1.2147518029106987,0.5668277777777778,0.8889728798866272,0.6926
6,1.1966229824066161,0.5743222222222222,0.8973304047584534,0.6792
7,1.1810729908413358,0.5789055555555556,0.8655634443759919,0.699
8,1.16782511622111,0.5833555555555555,0.9323325993061066,0.6794
9,1.1560702960120308,0.5878166666666667,0.84175846118927,0.7076
10,1.1476719905641344,0.5904888888888888,0.9026035591602325,0.6862
11,1.1405236645380656,0.5941777777777778,0.80195600066185,0.7196
12,1.1315044909689163,0.5976222222222223,0.8684943732261657,0.695
13,1.1233670730590821,0.6004555555555555,0.9299398746967316,0.675
14,1.1206039152993097,0.60075,0.8606354699611664,0.7006
15,1.1150854306644864,0.6028666666666667,0.8801388270378113,0.6886
16,1.1105335540771484,0.6039833333333333,0.8263622448921204,0.7122
17,1.1057658940739101,0.6065444444444444,0.8868873772621155,0.687
18,1.1011217322455513,0.6075666666666667,0.8256056015491485,0.7136
19,1.098821304045783,0.6082888888888889,0.8051807098388671,0.7228
