Epoch_of_10,train_loss,train_accuracy,test_loss,test_accuracy
0,0.7179564082654317,0.7512666666666666,0.7160083788871765,0.757
1,0.35447594953589967,0.8824888888888889,0.7132962514877319,0.7708
2,0.23717687430116866,0.92388,0.6583130885124207,0.785
3,0.18845959583971236,0.9405777777777777,0.8735740446090698,0.742
4,0.1662414428165224,0.9477555555555556,0.798631270980835,0.7658
5,0.1558067878458235,0.9513111111111111,0.7148209453582763,0.7894
6,0.1462789793115192,0.9541511111111111,0.7347123766899109,0.792
7,0.13929592997497983,0.9568888888888889,0.736588007736206,0.7838
8,0.13378100413481395,0.9579022222222222,0.7050800067901611,0.7914
9,0.12751180341680846,0.9606355555555556,0.6931159215927124,0.798
