Epoch_of_20,train_loss,train_accuracy,test_loss,test_accuracy
0,1.2012251655048793,0.571,1.1087910135269166,0.631
1,0.8279102007653978,0.7118,0.8051429494380951,0.719
2,0.7061841147528755,0.7539111111111111,0.848803066444397,0.7092
3,0.6279108213477664,0.7807111111111111,0.6638424962520599,0.7712
4,0.5702030536810557,0.8022222222222222,0.7027086280822754,0.7592
5,0.5219984057532416,0.8189555555555555,0.6597760781764984,0.7754
6,0.48392313752704197,0.8328444444444445,0.606019157910347,0.7932
7,0.44841258985731336,0.8472888888888889,0.6227641887187958,0.7904
8,0.4189329827626546,0.8570222222222222,0.6145257215231658,0.7872
9,0.39609608111381533,0.8642888888888889,0.7536139277458191,0.7528
10,0.3739558988147312,0.874,0.8237685414075852,0.7298
11,0.3515881011644999,0.881,0.6834728343486786,0.7724
12,0.33835299887127346,0.8832888888888889,0.6045460394382477,0.7946
13,0.3221271988974677,0.8918,0.701671719455719,0.776
14,0.31018265482584634,0.8944,0.6246688492774963,0.7862
15,0.2917409432517158,0.9012666666666667,0.6285717309951783,0.8
16,0.27976155786514284,0.9067111111111111,0.6143956679105759,0.7922
17,0.2777212513181898,0.9069333333333334,0.6294592707872391,0.7886
18,0.266832761809561,0.9098444444444445,0.6271444016218185,0.8032
19,0.2579619807084401,0.9129333333333334,0.6127287652730942,0.7976
