Epoch_of_10,train_loss,train_accuracy,test_loss,test_accuracy
0,1.1846297801759509,0.5778666666666666,0.9697156356811524,0.6568
1,0.8125147540728251,0.7168888888888889,0.7750223169326782,0.7332
2,0.6799051890161303,0.7635111111111111,0.7900937473297119,0.728
3,0.5942548058191935,0.7929777777777778,0.7488973056793213,0.75
4,0.5357242655648126,0.8158666666666666,0.7158362777709961,0.7546
5,0.48213715489705405,0.8351333333333333,0.8294569410324096,0.7168
6,0.4435901251051161,0.848,0.6208560886383057,0.7828
7,0.39948150966962176,0.8628444444444444,0.668777179813385,0.7794
8,0.3646149798711141,0.8764666666666666,0.7304072568893433,0.7622
9,0.33928139086299475,0.8854444444444445,0.6682732398986816,0.7854
