Epoch_of_20,train_loss,train_accuracy,test_loss,test_accuracy
0,1.1763424435933432,0.5828444444444445,1.0636981665611267,0.6256
1,0.812603789223565,0.7182,0.8302703603744507,0.708
2,0.6857524911138746,0.7637777777777778,0.8333647096276283,0.7114
3,0.6093376033147176,0.7897777777777778,0.6686230234146118,0.7668
4,0.5596949402411778,0.8059777777777778,0.6485413016557694,0.7764
5,0.5082689748446146,0.8244666666666667,0.6828818225860596,0.7648
6,0.4751707273695204,0.8353555555555555,0.6599514021396637,0.7806
7,0.4381093164867825,0.8508888888888889,0.6173223827838897,0.791
8,0.4114884641011556,0.8584666666666667,0.6875899195194244,0.7732
9,0.3795064960320791,0.8706,0.766551950621605,0.7492
10,0.36843830133014255,0.8743333333333333,0.6929298471450805,0.7736
11,0.3499432929992676,0.8803555555555556,0.654019063282013,0.7882
12,0.33366038250128427,0.8856222222222222,0.6261569318532944,0.7872
13,0.3120962422582838,0.8949555555555555,0.6156246620178223,0.7928
14,0.3017079577273793,0.8995777777777778,0.6326691074371338,0.7888
15,0.2934334068722195,0.9002444444444444,0.6347700502872468,0.7912
16,0.28169505607022177,0.9041111111111111,0.6485612077713012,0.787
17,0.2665808020869891,0.9109777777777778,0.6229683569431305,0.7968
18,0.2606393814775679,0.9125111111111112,0.6996753281354904,0.7774
19,0.2593701959027184,0.9136,0.6102361285209655,0.8028
