Epoch_of_10,train_loss,train_accuracy,test_loss,test_accuracy
0,1.8946494304148356,0.30278666666666665,3.4984279596328736,0.0998
1,1.7335357104407416,0.36572444444444446,2.9068989525794984,0.0956
2,1.6499078719245064,0.4000444444444444,2.561053649044037,0.1042
3,1.6022757043245104,0.4198044444444444,2.614189216995239,0.1078
4,1.5708807618670992,0.43162222222222224,3.252284937763214,0.1074
5,1.5464586824289959,0.442,3.207147350692749,0.0986
6,1.5276068440755208,0.4487555555555556,3.2353833466529847,0.101
7,1.5121466521750555,0.4550888888888889,2.8542348342895507,0.1038
8,1.4991471871651543,0.46108444444444446,2.9113367710113525,0.1282
9,1.4817795212258233,0.46712888888888887,3.157952962112427,0.0938
