Epoch_of_10,train_loss,train_accuracy,test_loss,test_accuracy
0,1.9246789375050863,0.2979511111111111,2.837110808181763,0.0924
1,1.7452156076600815,0.36604888888888887,3.329121155834198,0.1034
2,1.6341451555760702,0.41092,3.1220151213645937,0.1092
3,1.5711623506757948,0.4351511111111111,3.1873460985183715,0.141
4,1.5297868167241415,0.4522177777777778,3.492192533874512,0.1486
5,1.50105604025099,0.4617511111111111,3.6822910411834715,0.15
6,1.4781884899478488,0.4700311111111111,5.592957043838501,0.122
7,1.4596524598736234,0.47724,5.038561921691895,0.1684
8,1.4445080192481148,0.4818577777777778,6.04486978302002,0.154
9,1.4317633546235826,0.48833333333333334,5.527142676544189,0.1558
