Epoch_of_20,train_loss,train_accuracy,test_loss,test_accuracy
0,1.7064559875912138,0.3772611111111111,1.3264774181365966,0.5206
1,1.4279348801930745,0.4865833333333333,1.0702144004821776,0.616
2,1.3258414850870768,0.5281222222222223,0.9915930071353912,0.6486
3,1.2696963538275825,0.5477055555555556,1.014401682329178,0.644
4,1.2337537532806397,0.5616944444444445,0.9594119352340699,0.6678
5,1.2076101407580906,0.5700944444444445,0.9067461668968201,0.6818
6,1.1897574308607313,0.5762611111111111,0.951088705444336,0.6688
7,1.1737401357650756,0.58215,0.8401795221328735,0.7062
8,1.1620443040000068,0.5853055555555555,0.8696058573722839,0.7056
9,1.149018752310011,0.5907277777777777,0.8057458618164063,0.7222
10,1.141897480254703,0.5930666666666666,0.8676704144954681,0.706
11,1.1326900372399225,0.5962722222222222,0.9177023015022278,0.6744
12,1.1264951829274494,0.6002944444444445,0.9241922935962678,0.6832
13,1.118273241127862,0.6013055555555555,0.8749260395050049,0.7032
14,1.112654858525594,0.60395,0.839367919254303,0.7074
15,1.107284238020579,0.6061555555555556,0.9163736986160278,0.6882
16,1.101206437555949,0.6079444444444444,0.8093389417648316,0.7238
17,1.0941793333265517,0.6107944444444444,0.7928398099899292,0.726
18,1.0908807365629407,0.6120055555555556,0.7975121431350708,0.7302
19,1.0869533165825738,0.6126277777777778,0.8554642585754395,0.6958
