Epoch_of_10,train_loss,train_accuracy,test_loss,test_accuracy
0,1.2009180581940544,0.5704222222222223,1.0128383699417114,0.6498
1,0.8143867874251471,0.7143555555555555,1.0397930172920227,0.6606
2,0.6780092708057828,0.7644444444444445,0.7989287119865417,0.7252
3,0.6012507256348928,0.7916666666666666,0.6935353549957275,0.7604
4,0.5366631455633375,0.8127333333333333,0.7754045273780823,0.7348
5,0.4883827935801612,0.8334222222222222,0.7175172580718994,0.755
6,0.43921476825078326,0.8511777777777778,0.7624376708030701,0.7376
7,0.4038385933028327,0.8630666666666666,0.6019693250656128,0.791
8,0.3643405708736844,0.8788222222222222,0.7380290225982666,0.7622
9,0.33463461343977186,0.885,0.6658691864013672,0.786
