Epoch_of_10,train_loss,train_accuracy,test_loss,test_accuracy
0,0.7334349794748094,0.7454088888888889,0.6267752538681031,0.7876
1,0.35825214764171176,0.8807244444444444,0.7360575174331665,0.7648
2,0.23910332609123655,0.9230088888888889,0.5948337446212768,0.8056
3,0.19006840671698252,0.93928,0.8935589349746704,0.7502
4,0.16810815932591755,0.9472622222222222,0.6948988283157349,0.7834
5,0.15283107554223802,0.9514444444444444,0.7257054235458374,0.7826
6,0.14479526059733497,0.9545866666666667,0.6720352180480957,0.7998
7,0.1394538465971417,0.9566133333333333,0.7287577819824219,0.7874
8,0.13068995298279656,0.9594222222222222,0.8810612117767334,0.7418
9,0.12593911851353115,0.9609688888888889,0.7425661172866821,0.788
