Epoch_of_20,train_loss,train_accuracy,test_loss,test_accuracy
0,1.2200332767857445,0.5677333333333333,1.0601810679078103,0.6312
1,0.832797292052375,0.7088,0.7987573132514953,0.7244
2,0.7032424983978272,0.7553111111111112,0.8393145989894867,0.715
3,0.6260963339911567,0.7814444444444445,0.6629813283443451,0.7716
4,0.5659072027948168,0.8058,0.6570882881641388,0.7716
5,0.5287755067719354,0.8190888888888889,0.7077278218269348,0.7634
6,0.4847040226565467,0.8333555555555555,0.6455905743360519,0.7814
7,0.4529214103592767,0.8447555555555556,0.5940754702091217,0.795
8,0.42063548312717014,0.8548,0.5702567330837249,0.8026
9,0.39337088932461206,0.8663555555555555,0.705538920032978,0.7582
10,0.37404112555185953,0.8739333333333333,0.6256359156847,0.7974
11,0.35208616551558175,0.8804,0.6028858954906464,0.792
12,0.3376542760637071,0.8846888888888889,0.5922665409684181,0.7988
13,0.32529354814953276,0.8896222222222222,0.6213429973602295,0.7918
14,0.3092299547937181,0.8949777777777778,0.6681037989139557,0.7806
15,0.2947018700175815,0.9022666666666667,0.6009388525247574,0.8018
16,0.2869596368471781,0.9012888888888889,0.6440518630027771,0.7768
17,0.27642110150125293,0.9062222222222223,0.6401276000022889,0.7862
18,0.26906443245675826,0.9089111111111111,0.6591765839338303,0.7814
19,0.2547889422681597,0.9137777777777778,0.5879181138634682,0.8066
